id,name,fuel,capex,fom,vom,lifetime,discount_rate,lcoe,node,max_build,min_build,initial_capacity,unit_type,scenarios
0,pv_qld,solar,1463,12,0,30,0.05,0,QLD,1000,0,0,solar,"nem,battery,gas"
1,pv_nsw,solar,1463,12,0,30,0.05,0,NSW,1000,0,0,solar,"nem,battery,gas"
2,pv_sa,solar,1463,12,0,30,0.05,0,SA,1000,0,0,solar,"nem,battery,gas"
3,pv_vic,solar,1463,12,0,30,0.05,0,VIC,1000,0,0,solar,"nem,battery,gas"
4,pv_tas,solar,1463,12,0,30,0.05,0,TAS,1000,0,0,solar,"nem,battery,gas"
5,wind_qld,wind,3223,28,0,25,0.05,0,QLD,1000,0,0,wind,"nem,battery,gas"
6,wind_nsw,wind,3223,28,0,25,0.05,0,NSW,1000,0,0,wind,"nem,battery,gas"
7,wind_sa,wind,3223,28,0,25,0.05,0,SA,1000,0,0,wind,"nem,battery,gas"
8,wind_vic,wind,3223,28,0,25,0.05,0,VIC,1000,0,0,wind,"nem,battery,gas"
9,wind_tas,wind,3223,28,0,25,0.05,0,TAS,1000,0,0,wind,"nem,battery,gas"
10,hydro_qld,water,0,0,0,0,0.05,50,QLD,0,0,0.5,flexible,"nem,battery,gas"
11,hydro_nsw,water,0,0,0,0,0.05,50,NSW,0,0,0.5,flexible,"nem,battery,gas"
12,hydro_vic,water,0,0,0,0,0.05,50,VIC,0,0,0.5,flexible,"nem,battery,gas"
13,hydro_tas,water,0,0,0,0,0.05,50,TAS,0,0,0.5,flexible,"nem,battery,gas"
14,gas_qld,gas,943,14.1,8.1,25,0.05,0,QLD,1000,0,0,flexible,"gas"
15,gas_nsw,gas,943,14.1,8.1,25,0.05,0,NSW,1000,0,0,flexible,"gas"
16,gas_sa,gas,943,14.1,8.1,25,0.05,0,SA,1000,0,0,flexible,"gas"
17,gas_vic,gas,943,14.1,8.1,25,0.05,0,VIC,1000,0,0,flexible,"gas"
18,gas_tas,gas,943,14.1,8.1,25,0.05,0,TAS,1000,0,0,flexible,"gas"
19,coal_qld,black coal,0,0,0,0,0.05,133,QLD,1000,0,0,baseload,"nem,battery,gas"
20,coal_nsw,black coal,0,0,0,0,0.05,133,NSW,1000,0,0,baseload,"nem,battery,gas"
21,coal_vic,brown coal,0,0,0,0,0.05,171,VIC,1000,0,0,baseload,"nem,battery,gas"
