id,scenario,x_0
0,mekong,"39.787996187976546,15.722936428003095,215.15535871732592,263.6987034161291,327.7004193368614,243.35991616025981,1.358823476921714,91.2648402885834,51.16949714781123,0.04194652814385358,0.2106945432678915,187.72202992103786,123.97304436517595,94.83068950562836,0.0,49.66604167045553,34.642237742512876,49.95472130922461,41.58306234547568,22.952779333216824,49.45543517990118,35.46900332769777,3.0057298700889916,10.447489742971042,26.540850821961225,14.772989107845824,0.7588608655479876,1358.1344016377473,225.45811291821985,1228.4169974230304,1940.8141009485096,862.529041978569,558.8233521355949,210.23847805178394,12.722596290119043,37.977342173380435,129.48016919690625,95.80447215658856,3.796424209507336,14.124639691494007,14.00434984725582,19.77530908231172,6.346972979057618,14.314564599266177,19.54933500666334,19.95734690501149,92.45818423769174,3.4631402245018776"
1,mekong_imports,"8.592557143597787,4.532358293072207,3.098390781028172,26.68557798881352,15.654580369566474,84.38715731495233,21.801289130417047,39.49153550780238,57.06211195624098,0.0021573178801190807,0.00011182546097643353,130.40184587231488,85.01586766309458,87.00301901250509,16.066992077229376,22.459563932556847,18.784170544964958,32.1350008762881,33.78314860793709,30.087533872835955,27.698131975069522,16.203666138466104,37.981633632149645,9.135739184318293,6.4633922186381945,7.078306607532454,17.32334680865094,10.259921419508927,2.7422518013765824,0.0631896857233194,0.10666502905133868,0.10488760597769442,18.10793183594623,0.06235909821301533,0.02222174942659194,83.89335535235352,62.76018445121963,59.69498879979324,151.94452639310748,102.23256081585214,26.102303797565582,0.11907269429607936,0.09065549837563935,0.03361892451533777,0.02149753249926789,0.08307520414950886,0.04247397270108877,9.481092657519914,14.766069059860499,19.946761379823457,16.55256839400609,4.275098568875315,19.925645248743642,19.991872636057902,58.743530438249024,4.822927000058943,8.911709475354058,9.997215936426954,9.978346642935563"
2,mekong_gas,"8.592557143597787,4.532358293072207,3.098390781028172,26.68557798881352,15.654580369566474,84.38715731495233,21.801289130417047,39.49153550780238,57.06211195624098,0.0021573178801190807,0.00011182546097643353,130.40184587231488,85.01586766309458,87.00301901250509,16.066992077229376,22.459563932556847,18.784170544964958,32.1350008762881,33.78314860793709,30.087533872835955,27.698131975069522,16.203666138466104,37.981633632149645,9.135739184318293,6.4633922186381945,7.078306607532454,17.32334680865094,10.259921419508927,2.7422518013765824,0.0631896857233194,0.10666502905133868,0.10488760597769442,18.10793183594623,0.06235909821301533,0.02222174942659194,83.89335535235352,62.76018445121963,59.69498879979324,151.94452639310748,102.23256081585214,26.102303797565582,0.11907269429607936,0.09065549837563935,0.03361892451533777,0.02149753249926789,0.08307520414950886,0.04247397270108877,9.481092657519914,14.766069059860499,19.946761379823457,16.55256839400609,4.275098568875315,19.925645248743642,19.991872636057902,58.743530438249024,4.822927000058943,8.911709475354058,9.997215936426954,9.978346642935563"
