id,name,initial_power_capacity,initial_energy_capacity,duration,capex_p,capex_e,fom,vom,lifetime,discount_rate,node,charge_efficiency,discharge_efficiency,max_build_p,max_build_e,min_build_p,min_build_e,unit_type,scenarios
166,VIC Pumped Hydro - 8h,0,0,8,3338.6861,0,18.997,0,40,7,VIC,0.76,1,0,0,0,0,,constrained_phes
167,CSA Pumped Hydro - 24h,0,0,24,7810.9806,0,18.997,0,40,7,CSA,0.76,1,0.2,0,0,0,,constrained_phes
168,CSA Pumped Hydro - 48h,0,0,48,7039.1164,0,18.997,0,40,7,CSA,0.76,1,0,0,0,0,,constrained_phes
169,CSA Pumped Hydro - 8h,0,0,8,4510.5649,0,18.997,0,40,7,CSA,0.76,1,0,0,0,0,,constrained_phes
170,BOTN - Cethana - 20h,0.75,15,0,2388.7473,0,20.7067,0,40,7,TAS,0.76,1,0,0,0,0,,
171,TAS Pumped Hydro - 24h,0,0,24,2895.7325,0,18.997,0,40,7,TAS,0.76,1,0,0,0,0,,constrained_phes
172,TAS Pumped Hydro - 48h,0,0,48,3266.15,0,18.997,0,40,7,TAS,0.76,1,0.371,0,0,0,,constrained_phes
173,TAS Pumped Hydro - 8h,0,0,8,2497.3372,0,18.997,0,40,7,TAS,0.76,1,0,0,0,0,,constrained_phes
174,Smithfield BESS,0.065,0.13,0,0,0,10.8,0,0,0,SNW,0.916515,0.916515,0,0,0,0,,
175,CNSW Pumped Hydro - Flexible,0,0,0,5060.5033,0,18.997,0,40,7,CNSW,0.76,1,20,1000,0,0,,relaxed_phes
176,NNSW Pumped Hydro - Flexible,0,0,0,3851.6053,0,18.997,0,40,7,NNSW,0.76,1,20,1000,0,0,,relaxed_phes
177,SNSW Pumped Hydro - Flexible,0,0,0,4704.3938,0,20.5168,0,40,7,SNSW,0.76,1,20,1000,0,0,,relaxed_phes
178,CQ Pumped Hydro - Flexible,0,0,0,4123.3731,0,18.997,0,40,7,CQ,0.76,1,20,1000,0,0,,relaxed_phes
179,NQ Pumped Hydro - Flexible,0,0,0,4123.3731,0,18.997,0,40,7,NQ,0.76,1,20,1000,0,0,,relaxed_phes
180,SQ Pumped Hydro - Flexible,0,0,0,4516.9678,0,18.997,0,40,7,SQ,0.76,1,20,1000,0,0,,relaxed_phes
181,VIC Pumped Hydro - Flexible,0,0,0,4685.6512,0,18.997,0,40,7,VIC,0.76,1,20,1000,0,0,,relaxed_phes
182,CSA Pumped Hydro - Flexible,0,0,0,7810.9806,0,18.997,0,40,7,CSA,0.76,1,20,630,0,0,,relaxed_phes
183,TAS Pumped Hydro - Flexible,0,0,0,2895.7325,0,18.997,0,40,7,TAS,0.76,1,20,1000,0,0,,relaxed_phes
