Year,hydro_KH,hydro_LAN,hydro_LAS,hydro_VH,hydro_VS,hydro_CACE,hydro_CACW,hydro_CACN,hydro_MAC,hydro_NAC,hydro_NEC,hydro_SAC,hydro_TH,gas_KH,gas_LAN,gas_LAS,gas_VH,gas_VS,gas_CACE,gas_CACW,gas_CACN,gas_MAC,gas_NAC,gas_NEC,gas_SAC,gas_TH
2020,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,,,,,,,,,
